CMTE_ID,LEADERSHIP_PAC,SPONSOR_NAME,TOTAL_TRANSACTIONS
C00542027,BIG SKY OPPORTUNITY PAC,0,10000.00
C00883413,AMERICA'S MOUNTAIN PAC,Jeff Crank,8500.00
C00503151,UPPER HAND FUND,William Huizenga,5500.00
C00467431,THE EYE OF THE TIGER POLITICAL ACTION COMMITTEE,0,5000.00
C00531590,PATRIOTS IN ACTION,Roger Williams,5000.00
C00563726,MR. SOUTHERN MISSOURIAN IN THE HOUSE PAC,0,5000.00
C00592089,ELECTING MAJORITY MAKING EFFECTIVE REPUBLICANS PAC,0,5000.00
C00623512,IN THE ARENA PAC,0,5000.00
C00820787,B BRIGADE MAJORITY FUND,Thomas More Barrett,4500.00
C00749481,RAPTOR PAC,0,4000.00
C00882134,THIN BLUE LINE PAC,Timothy Gabriel Evans,3500.00
C00450320,INVEST IN A STRONG AND SECURE AMERICA,0,2700.00
C00531764,A NEW NATION PAC,Ann L. Wagner,2500.00
C00817338,MVL PAC,Michael Vincent Lawler,2500.00
C00818740,CALL TO SERVICE PAC,Zach Nunn,2500.00
C00390161,EUREKA POLITICAL ACTION COMMITTEE,0,1000.00
C00565630,MAINTAINING ALL REPUBLICANS IN OFFICE PAC,Mario Diaz-Balart,1000.00
C00607721,LAND OF OPPORTUNITY PAC,0,1000.00
C00697326,"ON WISCONSIN PAC, INC.",0,1000.00
C00765644,BIG IDEAS CREATE EXCELLENCE PAC,0,1000.00
C00823351,REPUBLICANS UNITED TO DEFEND YOU PAC,Rudy Yakym,1000.00
