CMTE_ID,LEADERSHIP_PAC,SPONSOR_NAME,TOTAL_TRANSACTIONS
C00542027,BIG SKY OPPORTUNITY PAC,0,30000.00
C00592089,ELECTING MAJORITY MAKING EFFECTIVE REPUBLICANS PAC,0,20000.00
C00467431,THE EYE OF THE TIGER POLITICAL ACTION COMMITTEE,0,15000.00
C00296640,REPUBLICAN MAJORITY FUND,0,10000.00
C00390674,FREEDOM FUND,Michael Crapo,10000.00
C00403592,NARRAGANSETT BAY PAC,John Reed,10000.00
C00404392,CONSERVATIVE OPPORTUNITY LEADERSHIP AND ENTERPRISE PAC,0,10000.00
C00406553,PROGRESSIVE VOTERS OF AMERICA,Bernard Sanders,10000.00
C00409003,HEARTLAND VALUES PAC,0,10000.00
C00413948,ARKANSAS FOR LEADERSHIP POLITICAL ACTION COMMITTEE (ARKPAC),John Boozman,10000.00
C00433680,TREASURE STATE PAC,R. Jon Tester,10000.00
C00442368,COMMON VALUES PAC,John Barrasso,10000.00
C00489336,WILD AND WONDERFUL PAC,Shelley Capito,10000.00
C00495887,TOMORROW IS MEANINGFUL PAC,Timothy E. Scott,10000.00
C00497073,LOBO PAC,Martin Heinrich,10000.00
C00551853,OORAH! POLITICAL ACTION COMMITTEE,0,10000.00
C00563726,MR. SOUTHERN MISSOURIAN IN THE HOUSE PAC,0,10000.00
C00571000,TRUE NORTH PAC,Dan Sullivan,10000.00
C00623512,IN THE ARENA PAC,0,10000.00
C00632323,DEFEND OUR CONSERVATIVE SENATE PAC (DOC'S PAC),0,10000.00
C00654186,SOCK IT TO 'EM PAC,John Curtis,10000.00
C00678813,CONSERVATIVES HARVESTING SUCCESS PAC,Cindy Hyde-Smith,10000.00
C00692715,HELP ELECT REPUBLICANS NOW,0,10000.00
C00719971,SENATE EAGLE PAC,0,10000.00
C00749481,RAPTOR PAC,0,10000.00
C00762328,FIGHT ON PAC,Ashley Hinson Arenholz,10000.00
C00762682,STEER PAC,0,10000.00
C00821058,ALABAMA FIRST PAC,Katie Boyd Britt,10000.00
C00832501,AMERICAN EXCELLENCE PAC,Pete Ricketts,10000.00
C00834507,BUILDING UP DEMOCRACY'S DREAM,0,10000.00
C00851998,PENNSYLVANIA HONOR,Dave McCormick,10000.00
C00863373,BEST AT BRINGING ENTREPRENEURIAL RESULTS NEVER IMAGINED OR ENVISIONED PAC,Bernie Moreno,10000.00
C00896688,JOBS OPPORTUNITY NOW POLITICAL ACTION COMMITTEE,Jon Husted,10000.00
C00390161,EUREKA POLITICAL ACTION COMMITTEE,0,8500.00
C00883413,AMERICA'S MOUNTAIN PAC,Jeff Crank,8500.00
C00769695,FREEDOM FORCE PAC,Maria Elvira Salazar,7000.00
C00691915,PRAYERIE PAC,Kevin Cramer,6000.00
C00503151,UPPER HAND FUND,William Huizenga,5500.00
C00379479,THE HAWKEYE PAC,0,5000.00
C00387464,ALAMO PAC,John Cornyn,5000.00
C00417493,PROGRESSIVE AMERICANS FOR DEMOCRACY,0,5000.00
C00493072,DAKOTA PAC,John Hoeven,5000.00
C00531590,PATRIOTS IN ACTION,Roger Williams,5000.00
C00540054,NEBRASKA SANDHILLS PAC,Debra S Fischer,5000.00
C00540146,FIRST IN FREEDOM PAC,0,5000.00
C00571323,TOGETHER HOLDING OUR MAJORITY PAC,0,5000.00
C00574970,FAIR SHOT PAC,Katherine Clark,5000.00
C00629311,GRANITE VALUES PAC,Margaret Hassan,5000.00
C00629576,BUILD OUR MOVEMENT PAC,Pramila Jayapal,5000.00
C00649525,RESTORING OUR NATION PAC,0,5000.00
C00664318,DEMOCRACY SUMMER LEADERSHIP PAC,Jamie Raskin,5000.00
C00692202,COURAGE TO CHANGE,Alexandria Ocasio-Cortez,5000.00
C00693796,BUCKEYE LIBERTY POLITICAL ACTION COMMITTEE,0,5000.00
C00762930,BE VICTORIOUS OVER DEMOCRATS PAC,0,5000.00
C00764886,LASTING INVESTMENTS STRENGTHENING AMERICA PAC,Lisa McClain,5000.00
C00783167,WORKING FOR OHIO,J Vance,5000.00
C00832469,BUILDING A NATIONAL KNOWLEDGEABLE SECURITY PAC,0,5000.00
C00892752,JUNTOS PAC,Ruben Gallego,5000.00
C00896092,FLORIDA LEADS,Ashley Moody,5000.00
C00483487,BRINGING REPUBLICAN EXCELLENCE TO TOWN PAC,S. Brett Guthrie,4500.00
C00820787,B BRIGADE MAJORITY FUND,Thomas More Barrett,4500.00
C00848556,MCKENZIE RIVER PAC,Valerie Hoyle,4500.00
C00689208,RVFPAC,0,4000.00
C00531764,A NEW NATION PAC,Ann L. Wagner,3500.00
C00607721,LAND OF OPPORTUNITY PAC,0,3500.00
C00784868,TRUSTWORTHY REPUBLICANS ALWAYS SERVE HUMBLY PAC,Barry Moore,3500.00
C00882134,THIN BLUE LINE PAC,Timothy Gabriel Evans,3500.00
C00912543,FIGHT PAC,Elizabeth Warren,3500.00
C00914366,NO FAIL MISSION PAC,Adam Schwarze,3500.00
C00918763,FOREVER TEXAS PAC,Briscoe Rowell Cain III,3500.00
C00765644,BIG IDEAS CREATE EXCELLENCE PAC,0,3000.00
C00822833,DEFENDING THE AMERICAN DREAM PAC,0,3000.00
C00898734,FLORIDA FIRST PAC,Jimmy Patronis,3000.00
C00923938,GRASSROOTS ORGANIZING FOR BETTER ELECTION RESULTS PAC,Chris Gober,3000.00
C00450320,INVEST IN A STRONG AND SECURE AMERICA,0,2700.00
C00428052,MAJORITY COMMITTEE PAC--MC PAC,0,2500.00
C00493361,RAZOR PAC,0,2500.00
C00631051,ABRAHAM LINCOLN PAC,Darin McKay LaHood,2500.00
C00817338,MVL PAC,Michael Vincent Lawler,2500.00
C00818740,CALL TO SERVICE PAC,Zach Nunn,2500.00
C00832576,PATRIOT PAC,Patrick Ryan,2500.00
C00925305,JUST ELECT SUPER STARS PAC,Jessica Hart Steinmann,2500.00
C00525592,COOL PAC,Daniel Webster,2000.00
C00526715,GREATER TOMORROW POLITICAL ACTION COMMITTEE,0,2000.00
C00529693,BLUE MAJORITY PAC,Mark Pocan,2000.00
C00565630,MAINTAINING ALL REPUBLICANS IN OFFICE PAC,Mario Diaz-Balart,2000.00
C00570770,RURAL AMERICA COUNTS PAC (RAC PAC),Eric Crawford,2000.00
C00572271,BUILDING AMERICA'S REPUBLICAN REPRESENTATION PAC,0,2000.00
C00669929,COMMON GOOD PAC,0,2000.00
C00706176,YOUR OHIO REPUBLICAN TEAM,0,2000.00
C00786392,BEYOND THOUGHTS AND PRAYERS PAC,Jake Auchincloss,2000.00
C00826685,A LOVE SUPREME PAC,Maxwell Frost,2000.00
C00827881,CIRCLE THE WAGONS PAC,Nick Langworthy,2000.00
C00894352,HEBREW HAMMER PAC,0,2000.00
C00543207,BADLANDS PAC,0,1500.00
C00878934,ON THE MOVE PAC,Lateefah Simon,1500.00
C00461251,MAC PAC,James McGovern,1000.00
C00497305,YOPAC,0,1000.00
C00525238,IMPACT COMMITTEE,Michael R Turner,1000.00
C00697326,"ON WISCONSIN PAC, INC.",0,1000.00
C00760694,SCONNIE PAC,Scott Fitzgerald,1000.00
C00761528,OREGON FRONTIER PAC,Cliff Bentz,1000.00
C00778449,RESTORE AMERICA'S VOICE PAC,Cory Mills,1000.00
C00787317,SPIKE PAC,Lori Trahan,1000.00
C00811216,OUR FIGHT OUR FUTURE,Greg Casar,1000.00
C00823351,REPUBLICANS UNITED TO DEFEND YOU PAC,Rudy Yakym,1000.00
C00823773,JUSTICE LEAGUE PAC,Robert Garcia,1000.00
