CMTE_ID,PAC_NAME,SPONSOR_NAME,TOTAL_TRANSACTIONS
C00077321,AMERICAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS POLITICAL ACTION COMMITTEE,#N/A,10000.00
C00345132,REPUBLICAN JEWISH COALITION POLITICAL ACTION COMMITTEE (RJC-PAC),#N/A,10000.00
C00492058,LEADERSHIP AND ACCOUNTABILITY ARE NATIONAL KEYS PAC,#N/A,10000.00
C00845099,SEND IN THE SEAL PAC,#N/A,10000.00
C00236489,"KOCH, INC. POLITICAL ACTION COMMITTEE (KOCHPAC)",#N/A,7500.00
C00411116,SPACE EXPLORATION TECHNOLOGIES CORP. PAC,#N/A,7500.00
C00000729,AMERICAN DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),#N/A,5000.00
C00007880,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",#N/A,5000.00
C00022343,"INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA, INC. POLITICAL ACTION COMMITTEE (INSURPAC)",#N/A,5000.00
C00028787,NATIONAL CATTLEMEN'S BEEF ASSOCIATION POLITICAL ACTION COMMITTEE (NCBA-PAC),#N/A,5000.00
C00035006,CHEVRON EMPLOYEES POLITICAL ACTION COMMITTEE - CHEVRON CORPORATION,#N/A,5000.00
C00035451,AIR LINE PILOTS ASSOCIATION PAC,#N/A,5000.00
C00040998,NATIONAL AUTOMOBILE DEALERS ASSOCIATION POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00042002,REYNOLDS AMERICAN INC. POLITICAL ACTION COMMITTEE; RAI PAC,#N/A,5000.00
C00053553,NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND,#N/A,5000.00
C00064766,"UNITED PARCEL SERVICE, INC. PAC (UPSPAC)",#N/A,5000.00
C00064774,"NEXTERA ENERGY, INC. POLITICAL ACTION COMMITTEE",#N/A,5000.00
C00089136,"ALTRIA GROUP,  INC. POLITICAL ACTION COMMITTEE (ALTRIAPAC)",#N/A,5000.00
C00104802,DELTA AIR LINES PAC,#N/A,5000.00
C00107235,PRICEWATERHOUSECOOPERS POLITICAL ACTION COMMITTEE I,#N/A,5000.00
C00109306,NATIONAL ASSOCIATION OF WHOLESALER-DISTRIBUTORS POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00110338,AMERICAN CRYSTAL SUGAR COMPANY POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00112896,CONOCOPHILLIPS SPIRIT PAC,#N/A,5000.00
C00126763,NATIONAL ASSOCIATION OF CONVENIENCE STORES POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00147173,"WINE AND SPIRITS WHOLESALERS OF AMERICA, INC. POLITICAL ACTION COMMITTEE",#N/A,5000.00
C00166348,SOUTHERN MINNESOTA BEET SUGAR COOPERATIVE POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00186064,"FEDERAL BIPARTISAN VOLUNTARY PUBLIC AFFAIRS COMMITTEE OF THE PNC FINANCIAL SERVICES GROUP, INC. (PNC",#N/A,5000.00
C00199711,HEALTH CARE SERVICE CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00211318,DELOITTE POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00227744,ERNST & YOUNG POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00251876,AMGEN INC. POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00280222,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,#N/A,5000.00
C00284885,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00304832,CONSTELLATION BRANDS INC POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00332296,SUSAN B. ANTHONY LIST. INC. CANDIDATE FUND (DBA SUSAN B. ANTHONY PRO-LIFE AMERICA CANDIDATE FUND),#N/A,5000.00
C00366468,"CORECIVIC, INC. POLITICAL ACTION COMMITTEE (CORECIVIC PAC)",#N/A,5000.00
