CMTE_ID,PAC_NAME,SPONSOR_NAME,TOTAL_TRANSACTIONS
C00028787,NATIONAL CATTLEMEN'S BEEF ASSOCIATION POLITICAL ACTION COMMITTEE (NCBA-PAC),#N/A,10000.00
C00411116,SPACE EXPLORATION TECHNOLOGIES CORP. PAC,#N/A,10000.00
C00570226,SEAL PAC SUPPORTING ELECTING AMERICAN LEADERS PAC,#N/A,10000.00
C00639229,AMERICAN REVIVAL PAC,#N/A,10000.00
C00845099,SEND IN THE SEAL PAC,#N/A,10000.00
C00010868,AMERICAN COUNCIL OF ENGINEERING COMPANIES (ACEC/PAC),#N/A,5000.00
C00113811,NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00126763,NATIONAL ASSOCIATION OF CONVENIENCE STORES POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00149104,CHS INC. POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00165159,REPUBLICAN MAINSTREET PARTNERSHIP PAC,#N/A,5000.00
C00199711,HEALTH CARE SERVICE CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00236489,"KOCH, INC. POLITICAL ACTION COMMITTEE (KOCHPAC)",#N/A,5000.00
C00493221,THE GUARDIAN FUND,#N/A,5000.00
C00767640,RANGER PAC,#N/A,5000.00
C00818542,FIELD OF DREAMS PAC,#N/A,5000.00
C00778159,COMMANDER ZINKE LEADERSHIP FUND,#N/A,4000.00
C00485540,LEADERSHIP FOR AMERICA TODAY TOMORROW AND ALWAYS PAC,#N/A,3000.00
C00004473,NATIONAL TELECOMMUNICATIONS COOPERATIVE ASSOCIATION RURAL BROADBAND PAC,#N/A,2500.00
C00009985,NATIONAL ASSOCIATION OF BROADCASTERS POLITICAL ACTION COMMITTEE (NABPAC),#N/A,2500.00
C00412098,ASSOCIATION OF KENTUCKY FRIED CHICKEN FRANCHISEES INC PAC,#N/A,2500.00
C00524314,AMERICA'S FIRST PAC,#N/A,2500.00
C00755454,"US ENERGY PAC (THE PAC OF AMERICAN EXPLORATION & PRODUCTION COUNCIL, INC.)",#N/A,2500.00
C00174227,BAKER & HOSTETLER POLITICAL ACTION COMMITTEE,#N/A,2000.00
C00333427,GW PAC,#N/A,2000.00
C00361758,"T-MOBILE US, INC.  POLITICAL ACTION COMMITTEE (T-PAC)",#N/A,2000.00
C00698092,LET'S ALL KEEP ELECTING REPUBLICANS PAC,#N/A,2000.00
C00726729,BOOTS ON THE GROUND - FEDERAL,#N/A,2000.00
C00816389,ELECTING REPUBLICANS INDIANA PAC,#N/A,1500.00
C00832006,ULTRAGENYX PHARMACEUTICAL INC. POLITICAL ACTION COMMITTEE (AKA ULTRAGENYX PAC),#N/A,1500.00
C00089136,"ALTRIA GROUP,  INC. POLITICAL ACTION COMMITTEE (ALTRIAPAC)",#N/A,1000.00
C00089458,"NATIONAL STONE, SAND & GRAVEL ASSOCIATION ROCKPAC",#N/A,1000.00
C00103903,"HDR, INC. EMPLOYEE OWNERS PAC",#N/A,1000.00
C00123612,TEXTRON INC. POLITICAL ACTION COMMITTEE,#N/A,1000.00
C00167684,AMERICAN SUGARBEET GROWERS ASSOCIATION PAC,#N/A,1000.00
C00480863,"NATIONAL SHOOTING SPORTS FOUNDATION, INC. POLITICAL ACTION COMMITTEE (NSSF PAC)",#N/A,1000.00
C00823500,SECURING THE REPUBLIC FOR OUR NEXT GENERATION,#N/A,1000.00
C00938399,THE MAJORITY,#N/A,1000.00
