CMTE_ID,PAC_NAME,SPONSOR_NAME,TOTAL_TRANSACTIONS
C00002089,COMMUNICATIONS WORKERS OF AMERICA - COPE POLITICAL CONTRIBUTIONS COMMITTEE,#N/A,10000.00
C00002469,MACHINISTS NON PARTISAN POLITICAL LEAGUE OF THE INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS,#N/A,10000.00
C00513176,CONGRESSIONAL PROGRESSIVE CAUCUS PAC,#N/A,10000.00
C00004036,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),#N/A,5000.00
C00005157,INTERNATIONAL BROTHERHOOD OF BOILERMAKERS CAMPAIGN ASSISTANCE FUND,#N/A,5000.00
C00027342,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS POLITICAL ACTION COMMITTEE,#N/A,5000.00
C00028860,"AMERICAN FEDERATION OF TEACHERS, AFL-CIO COMMITTEE ON POLITICAL EDUCATION",#N/A,5000.00
C00436188,ALLIANCE FOR RETIRED AMERICANS POLITICAL ACTION FUND,#N/A,2500.00
C00573261,END CITIZENS UNITED,#N/A,2500.00
C00318311,NATIONAL WEATHER SERVICE EMPLOYEES ORGANIZATION POLITICAL ACTION COMMITTEE,#N/A,1000.00
C00723577,PROTECTING AMERICANS CHALLENGING OPPRESSION (PACO) PAC,#N/A,1000.00
C00727784,SERVICE FIRST PAC,#N/A,1000.00
C00830182,YINZER PAC,#N/A,1000.00
C00637504,SOCIAL SECURITY WORKS PAC,#N/A,225.00
C00252940,LEAGUE OF CONSERVATION VOTERS ACTION FUND,#N/A,50.00
