CMTE_ID,PAC,SPONSOR_NAME,AMOUNT,PARTY
C00542027,BIG SKY OPPORTUNITY PAC,0,30000.00,R
C00028787,NATIONAL CATTLEMEN'S BEEF ASSOCIATION POLITICAL ACTION COMMITTEE (NCBA-PAC),0,20000.00,R
C00411116,SPACE EXPLORATION TECHNOLOGIES CORP. PAC,0,20000.00,R
C00570226,SEAL PAC SUPPORTING ELECTING AMERICAN LEADERS PAC,0,20000.00,R
C00592089,ELECTING MAJORITY MAKING EFFECTIVE REPUBLICANS PAC,0,20000.00,R
C00845099,SEND IN THE SEAL PAC,0,20000.00,R
C00077321,AMERICAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS POLITICAL ACTION COMMITTEE,0,17500.00,R
C00199711,HEALTH CARE SERVICE CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,0,17500.00,R
C00107235,PRICEWATERHOUSECOOPERS POLITICAL ACTION COMMITTEE I,0,17000.00,R
C00186064,"FEDERAL BIPARTISAN VOLUNTARY PUBLIC AFFAIRS COMMITTEE OF THE PNC FINANCIAL SERVICES GROUP, INC. (PNC",0,15000.00,R
C00467431,THE EYE OF THE TIGER POLITICAL ACTION COMMITTEE,0,15000.00,R
C00792127,FAIR ISAAC CORPORATION POLITICAL ACTION COMMITTEE (FICO PAC),0,15000.00,R
C00022343,"INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA, INC. POLITICAL ACTION COMMITTEE (INSURPAC)",0,13500.00,R
C00227744,ERNST & YOUNG POLITICAL ACTION COMMITTEE,0,13000.00,R
C00280222,KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,0,13000.00,R
C00000729,AMERICAN DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE,0,12500.00,R
C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),0,12500.00,R
C00158881,NEW YORK LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,0,12500.00,R
C00236489,"KOCH, INC. POLITICAL ACTION COMMITTEE (KOCHPAC)",0,12500.00,R
C00149104,CHS INC. POLITICAL ACTION COMMITTEE,0,11000.00,R
