CMTE_ID,PAC,SPONSOR_NAME,AMOUNT,CANDIDATE,PARTY
C00077321,AMERICAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS POLITICAL ACTION COMMITTEE,0,10000.00,Kurt Alme,R
C00296640,REPUBLICAN MAJORITY FUND,0,10000.00,Kurt Alme,R
C00328211,MAX'S PAC,0,10000.00,Seth Bodnar,I
C00345132,REPUBLICAN JEWISH COALITION POLITICAL ACTION COMMITTEE (RJC-PAC),0,10000.00,Kurt Alme,R
C00390674,FREEDOM FUND,Michael Crapo,10000.00,Kurt Alme,R
C00403592,NARRAGANSETT BAY PAC,John Reed,10000.00,Seth Bodnar,I
C00409003,HEARTLAND VALUES PAC,0,10000.00,Kurt Alme,R
C00413948,ARKANSAS FOR LEADERSHIP POLITICAL ACTION COMMITTEE (ARKPAC),John Boozman,10000.00,Kurt Alme,R
C00433680,TREASURE STATE PAC,R. Jon Tester,10000.00,Seth Bodnar,I
C00442368,COMMON VALUES PAC,John Barrasso,10000.00,Kurt Alme,R
C00489336,WILD AND WONDERFUL PAC,Shelley Capito,10000.00,Kurt Alme,R
C00492058,LEADERSHIP AND ACCOUNTABILITY ARE NATIONAL KEYS PAC,0,10000.00,Kurt Alme,R
C00495887,TOMORROW IS MEANINGFUL PAC,Timothy E. Scott,10000.00,Kurt Alme,R
C00542027,BIG SKY OPPORTUNITY PAC,0,10000.00,Kurt Alme,R
C00551853,OORAH! POLITICAL ACTION COMMITTEE,0,10000.00,Kurt Alme,R
C00571000,TRUE NORTH PAC,Dan Sullivan,10000.00,Kurt Alme,R
C00592089,ELECTING MAJORITY MAKING EFFECTIVE REPUBLICANS PAC,0,10000.00,Kurt Alme,R
C00629709,NO LABELS PAC,0,10000.00,Seth Bodnar,I
C00632323,DEFEND OUR CONSERVATIVE SENATE PAC (DOC'S PAC),0,10000.00,Kurt Alme,R
C00654186,SOCK IT TO 'EM PAC,John Curtis,10000.00,Kurt Alme,R
