CMTE_ID,Leadership Pacs,Sponsor Name,PAC Name,Committee Designation,AMNDT_IND,RPT_TP,TRANSACTION_PGI,IMAGE_NUM,TRANSACTION_TP,ENTITY_TP,NAME,CITY,STATE,ZIP_CODE,EMPLOYER,OCCUPATION,TRANSACTION_DT,TRANSACTION_AMT,OTHER_ID,CAND_ID,Candidate Name,TRAN_ID,FILE_NUM,MEMO_CD,MEMO_TEXT,SUB_ID
C00942326,ACCOUNTABLE LEADERS FOR MONTANA'S EXCELLENCE,"ALME, KURT",ACCOUNTABLE LEADERS FOR MONTANA'S EXCELLENCE,D,N,Q2,P2026,2.02607E+17,24K,CCM,BARRY MOORE FOR U.S. SENATE,ENTERPRISE,AL,36331,,,5102026,3500,C00720375,S6AL00476,"MOORE, FELIX BARRY",SB23.I170,1997223,,,4.07232E+18
C00942326,ACCOUNTABLE LEADERS FOR MONTANA'S EXCELLENCE,"ALME, KURT",ACCOUNTABLE LEADERS FOR MONTANA'S EXCELLENCE,D,N,Q2,R2026,2.02607E+17,24K,CCM,BARRY MOORE FOR U.S. SENATE,ENTERPRISE,AL,36331,,,5292026,3500,C00720375,S6AL00476,"MOORE, FELIX BARRY",SB23.I171,1997223,,,4.07232E+18
C00880724,CONSERVATIVE SERVICE ACTION RESULTS (CSAR) PAC,"DOWNING, TROY",CONSERVATIVE SERVICE ACTION RESULTS (CSAR) PAC,D,N,MY,P2026,2.02507E+17,24K,CCM,ALASKANS FOR NICK BEGICH,CHUGIAK,AK,99567,,,3202025,500,C00792341,H2AK01083,"BEGICH, NICHOLAS III",SB23.4256,1907573,,,4.07312E+18
C00880724,CONSERVATIVE SERVICE ACTION RESULTS (CSAR) PAC,"DOWNING, TROY",CONSERVATIVE SERVICE ACTION RESULTS (CSAR) PAC,D,N,MY,P2026,2.02507E+17,24K,CCM,ALASKANS FOR NICK BEGICH,CHUGIAK,AK,99567,,,6242025,1000,C00792341,H2AK01083,"BEGICH, NICHOLAS III",SB23.4304,1907573,,,4.07312E+18
C00880724,CONSERVATIVE SERVICE ACTION RESULTS (CSAR) PAC,"DOWNING, TROY",CONSERVATIVE SERVICE ACTION RESULTS (CSAR) PAC,D,N,YE,P2026,2.02601E+17,24K,CCM,ALASKANS FOR NICK BEGICH,CHUGIAK,AK,99567,,,9162025,1000,C00792341,H2AK01083,"BEGICH, NICHOLAS III",SB23.4337,1942923,,,4.03032E+18
C00880724,CONSERVATIVE SERVICE ACTION RESULTS (CSAR) PAC,"DOWNING, TROY",CONSERVATIVE SERVICE ACTION RESULTS (CSAR) PAC,D,N,YE,P2026,2.02601E+17,24K,CCM,ALASKANS FOR NICK BEGICH,CHUGIAK,AK,99567,,,12172025,1000,C00792341,H2AK01083,"BEGICH, NICHOLAS III",SB23.4353,1942923,,,4.03032E+18
C00880724,CONSERVATIVE SERVICE ACTION RESULTS (CSAR) PAC,"DOWNING, TROY",CONSERVATIVE SERVICE ACTION RESULTS (CSAR) PAC,D,N,MY,P2026,2.02507E+17,24K,CCM,BRIAN FITZPATRICK FOR ALL OF US,LANGHORNE,PA,19047,,,3202025,500,C00607416,H6PA08277,"FITZPATRICK, BRIAN",SB23.4290,1907573,,,4.07312E+18
C00880724,CONSERVATIVE SERVICE ACTION RESULTS (CSAR) PAC,"DOWNING, TROY",CONSERVATIVE SERVICE ACTION RESULTS (CSAR) PAC,D,N,Q2,P2026,2.02607E+17,24K,CCM,CELESTE FOR CONGRESS,CEDAR CITY,UT,84721,,,6012026,1000,C00842765,H4UT02296,"MALOY, CELESTE",SB23.4387,1994746,,,4.07272E+18
C00880724,CONSERVATIVE SERVICE ACTION RESULTS (CSAR) PAC,"DOWNING, TROY",CONSERVATIVE SERVICE ACTION RESULTS (CSAR) PAC,D,N,MY,P2026,2.02507E+17,24K,CCM,CISCOMANI FOR CONGRESS,TUCSON,AZ,85740,,,3202025,500,C00786194,H2AZ02360,"CISCOMANI, JUAN",SB23.4262,1907573,,,4.07312E+18
C00880724,CONSERVATIVE SERVICE ACTION RESULTS (CSAR) PAC,"DOWNING, TROY",CONSERVATIVE SERVICE ACTION RESULTS (CSAR) PAC,D,N,YE,P2026,2.02601E+17,24K,CCM,DARRELL ISSA FOR CONGRESS,IRVINE,CA,92618,,,12302025,2700,C00721332,H0CA48024,#N/A,SB23.4357,1942923,,,4.03032E+18
